product_id,product_name,Major Category,Sub Category,discounted_price,actual_price,discount_percentage,user_id,user_name,review_id,review_title,review_content,rating,rating_count
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AHMY5CWJMMK5BJRBBSNLYT3ONILA,Adarsh gupta,R3HXWT0LRP0NMF,Charging is really fast,Charging is really fast,4.2,"24,269"
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AHCTC6ULH4XB6YHDY6PCH2R772LQ,Sundeep,R3HXWT0LRP0NMF,Value for money,good product.,4.2,"24,269"
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,jaspreet singh,R3HXWT0LRP0NMF,Good quality,This is a good product . The charging speed is slower than the original iPhone cable,4.2,"24,269"
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AENGU523SXMOS7JPDTW52PNNVWGQ,Khaja moin,R3HXWT0LRP0NMF,Good product,Good quality,4.2,"24,269"
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AEQJHCVTNINBS4FKTBGQRQTGTE5Q,Anand,R3HXWT0LRP0NMF,Good Product,would recommend,4.2,"24,269"
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,USBCables,₹399,"₹1,099",64%,AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,S.ARUMUGAM,R3HXWT0LRP0NMF,As of now seems good,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81---F1ZgHL._SY88.jpg,4.2,"24,269"
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,USBCables,₹199,₹349,43%,AGYYVPDD7YG7FYNBXNGXZJT525AQ,Nirbhay kumar,RGIQEG07R9HS2,Good quality product from ambrane,It quality is good at this price and the main thing is that i didn't ever thought that this cable will be so long it's good one and charging power is too good and also supports fast charging,4.0,"43,994"
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,USBCables,₹199,₹349,43%,AFPHD2CRPDZMWMBL7WXRSVYWS5JA,Asp,RGIQEG07R9HS2,As,with extra length👍,4.0,"43,994"
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,USBCables,₹199,₹349,43%,AH4QT33M55677I7ISQOAKEQWACYQ,Niam,RGIQEG07R9HS2,Good quality for the price but one issue with my unit,Good,4.0,"43,994"
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,USBCables,₹199,"₹1,899",90%,AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Kunal,R3J3EQQ9TZI5ZJ,Good speed for earlier versions,Not quite durable and sturdy,3.9,"7,928"
